|photoFullPath|Marker1|Marker2|Marker3|Marker4|ColorLeft|ColorRight|GrayScaleRight|GreyScaleLeft|CircleTop|CircleRight|CircleBottom|CircleLeft
10|./source_to_label/20201124_231637.jpg|(0.2125, 0.20333333333333334)|(0.7475, 0.19166666666666668)|(0.7875, 0.8016666666666666)|(0.2125, 0.8283333333333334)|(0.1875, 0.3)|(0.785, 0.3)|(0.815, 0.6866666666666666)|(0.215, 0.715)|(0.49, 0.335)|(0.7075, 0.4766666666666667)|(0.5, 0.655)|(0.275, 0.49)
11|./source_to_label/20201124_231639.jpg|(0.245, 0.19666666666666666)|(0.77, 0.205)|(0.7925, 0.8)|(0.245, 0.835)|(0.2125, 0.295)|(0.805, 0.30333333333333334)|(0.825, 0.69)|(0.255, 0.7116666666666667)|(0.515, 0.3416666666666667)|(0.7275, 0.48833333333333334)|(0.5275, 0.6566666666666666)|(0.31, 0.49333333333333335)
12|./source_to_label/20201124_231641.jpg|(0.295, 0.19)|(0.7925, 0.20833333333333334)|(0.8275, 0.785)|(0.2925, 0.8183333333333334)|(0.255, 0.2866666666666667)|(0.8325, 0.30833333333333335)|(0.86, 0.68)|(0.2925, 0.7016666666666667)|(0.5525, 0.335)|(0.76, 0.4766666666666667)|(0.5625, 0.6466666666666666)|(0.3475, 0.475)
13|./source_to_label/20201124_231645.jpg|(0.2175, 0.21333333333333335)|(0.7275, 0.15833333333333333)|(0.7925, 0.785)|(0.2225, 0.8)|(0.1875, 0.3016666666666667)|(0.7725, 0.25666666666666665)|(0.8225, 0.6666666666666666)|(0.2275, 0.6833333333333333)|(0.47, 0.3233333333333333)|(0.6975, 0.45)|(0.5, 0.6316666666666667)|(0.275, 0.48)
14|./source_to_label/20201124_231648.jpg|(0.145, 0.22666666666666666)|(0.655, 0.175)|(0.705, 0.8333333333333334)|(0.14, 0.8333333333333334)|(0.11, 0.3233333333333333)|(0.7075, 0.2833333333333333)|(0.7425, 0.71)|(0.1425, 0.7183333333333334)|(0.4025, 0.34833333333333333)|(0.625, 0.49)|(0.42, 0.6716666666666666)|(0.1975, 0.5083333333333333)
15|./source_to_label/20201124_231649.jpg|(0.195, 0.20833333333333334)|(0.735, 0.18)|(0.785, 0.8266666666666667)|(0.19, 0.8416666666666667)|(0.1625, 0.30833333333333335)|(0.79, 0.2866666666666667)|(0.82, 0.71)|(0.195, 0.7266666666666667)|(0.475, 0.34)|(0.6975, 0.4816666666666667)|(0.4825, 0.6733333333333333)|(0.2525, 0.5033333333333333)
16|./source_to_label/20201124_231651.jpg|(0.21, 0.20333333333333334)|(0.7325, 0.18166666666666667)|(0.7925, 0.8083333333333333)|(0.1875, 0.825)|(0.18, 0.305)|(0.7825, 0.28)|(0.825, 0.6833333333333333)|(0.21, 0.705)|(0.4825, 0.3283333333333333)|(0.71, 0.47)|(0.495, 0.6516666666666666)|(0.265, 0.485)
17|./source_to_label/20201124_231652.jpg|(0.18, 0.2)|(0.6925, 0.17666666666666667)|(0.7725, 0.78)|(0.165, 0.8133333333333334)|(0.1475, 0.2916666666666667)|(0.735, 0.2683333333333333)|(0.7925, 0.6683333333333333)|(0.1675, 0.695)|(0.445, 0.3233333333333333)|(0.67, 0.45166666666666666)|(0.465, 0.6366666666666667)|(0.2375, 0.475)
18|./source_to_label/20201124_231653.jpg|(0.1925, 0.19166666666666668)|(0.7175, 0.18666666666666668)|(0.77, 0.8)|(0.185, 0.83)|(0.1575, 0.3016666666666667)|(0.7675, 0.28833333333333333)|(0.795, 0.6883333333333334)|(0.1825, 0.7116666666666667)|(0.465, 0.3333333333333333)|(0.69, 0.47833333333333333)|(0.4725, 0.6583333333333333)|(0.2525, 0.4866666666666667)
19|./source_to_label/20201124_231654.jpg|(0.2275, 0.235)|(0.76, 0.24166666666666667)|(0.775, 0.8416666666666667)|(0.19, 0.8633333333333333)|(0.1875, 0.33)|(0.8, 0.34)|(0.8, 0.74)|(0.2125, 0.7483333333333333)|(0.4925, 0.37833333333333335)|(0.7025, 0.5266666666666666)|(0.49, 0.7033333333333334)|(0.275, 0.5333333333333333)
